disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
anal fissure,Pain that lasts several hours around your anus after you have a bowel movement Bleeding from your anus Bright red blood in your bowel movement or spots of blood on your toilet paper Pain while you urinate or have sex Spasms in your anus Itching around your anus,drugs-com,pain that lasts several hours around your anus after you have a bowel movement bleeding from your anus bright red blood in your bowel movement or spots of blood on your toilet paper pain while you urinate or have sex spasms in your anus itching around your anus,pain last hour anus bowel movement bleed anus bright red blood bowel movement spot blood toilet paper pain urinate sex spasm anus itching anus,"['pain', 'anus', 'bowel movement bleeding', 'anus bright', 'bowel movement', 'spots', 'blood', 'toilet paper', 'urinate', 'sex spasms', 'anus itching', 'anus']"
anaphylaxis,"You may have any of the following within seconds to hours after exposure to a trigger: Trouble breathing, shortness of breath, wheezing, or coughing Throat tightening, swelling of the lips or tongue, or trouble swallowing Rash, hives, swelling, or itching Nausea, vomiting, diarrhea, or abdominal cramps Dizziness, lightheadedness, fainting, or confusion Sudden behavior changes or irritability ",drugs-com,"you may have any of the following within seconds to hours after exposure to a trigger: trouble breathing, shortness of breath, wheezing, or coughing throat tightening, swelling of the lips or tongue, or trouble swallowing rash, hives, swelling, or itching nausea, vomiting, diarrhea, or abdominal cramps dizziness, lightheadedness, fainting, or confusion sudden behavior changes or irritability ",following second hour exposure trigger trouble breathing shortness breath wheezing cough throat tightening swelling lip tongue trouble swallow rash hive swelling itching nausea vomiting diarrhea abdominal cramp dizziness lightheadedness fainting confusion sudden behavior change irritability,"['hours', 'exposure', 'trigger', 'trouble breathing', 'shortness of breath', 'wheezing', 'coughing throat', 'tightening', 'swelling', 'lips', 'tongue', 'swallowing rash', 'hives', 'swelling', 'itching', 'vomiting', 'diarrhea', 'abdominal cramps dizziness', 'lightheadedness', 'fainting', 'confusion', 'sudden behavior', 'changes', 'irritability']"
anaphylaxis in children,"Your child may have any of the following within seconds to hours after exposure to a trigger: Trouble breathing, shortness of breath, wheezing, or coughing Throat tightening, swelling of the lips or tongue, or trouble swallowing Rash, hives, swelling, or itching Nausea, vomiting, diarrhea, or abdominal cramps Dizziness, lightheadedness, fainting, or confusion Sudden behavior changes or irritability ",drugs-com,"your child may have any of the following within seconds to hours after exposure to a trigger: trouble breathing, shortness of breath, wheezing, or coughing throat tightening, swelling of the lips or tongue, or trouble swallowing rash, hives, swelling, or itching nausea, vomiting, diarrhea, or abdominal cramps dizziness, lightheadedness, fainting, or confusion sudden behavior changes or irritability ",child following second hour exposure trigger trouble breathing shortness breath wheezing cough throat tightening swelling lip tongue trouble swallow rash hive swelling itching nausea vomiting diarrhea abdominal cramp dizziness lightheadedness fainting confusion sudden behavior change irritability,"['child', 'hours', 'exposure', 'trigger', 'trouble breathing', 'shortness of breath', 'wheezing', 'coughing throat', 'tightening', 'swelling', 'lips', 'tongue', 'swallowing rash', 'hives', 'swelling', 'itching', 'vomiting', 'diarrhea', 'abdominal cramps dizziness', 'lightheadedness', 'fainting', 'confusion', 'sudden behavior', 'changes', 'irritability']"
anemia,"Chest pain or a fast heartbeat Lightheadedness, dizziness, or shortness of breath Cold or pale skin Tiredness, weakness, or confusion",drugs-com,"chest pain or a fast heartbeat lightheadedness, dizziness, or shortness of breath cold or pale skin tiredness, weakness, or confusion",chest pain fast heartbeat lightheadedness dizziness shortness breath cold pale skin tiredness weakness confusion,"['chest pain', 'fast heartbeat', 'dizziness', 'shortness', 'breath cold', 'pale skin tiredness', 'weakness', 'confusion']"
angina,"Pressure, tightness, or pain in your neck, jaw, shoulder, or back Pain or numbness in either arm Discomfort that feels like heartburn Shortness of breath, sweating, nausea, or lightheadedness",drugs-com,"pressure, tightness, or pain in your neck, jaw, shoulder, or back pain or numbness in either arm discomfort that feels like heartburn shortness of breath, sweating, nausea, or lightheadedness",pressure tightness pain neck jaw shoulder pain numbness arm discomfort feel like heartburn shortness breath sweating nausea lightheadedness,"['pressure', 'tightness', 'pain', 'neck', 'jaw', 'shoulder', 'back pain', 'numbness', 'arm discomfort', 'heartburn', 'sweating', 'nausea', 'lightheadedness']"
angiodysplasia of the gastrointestinal tract,"You may not have any signs or symptoms. You may have bleeding from your rectum or blood in your bowel movements that come and go. Over time, this blood loss can lead to anemia. Anemia is a low number of red blood cells. This prevents your body from carrying enough oxygen to your body. Anemia can cause fatigue, weakness, and shortness of breath.",drugs-com,"you may not have any signs or symptoms. you may have bleeding from your rectum or blood in your bowel movements that come and go. over time, this blood loss can lead to anemia. anemia is a low number of red blood cells. this prevents your body from carrying enough oxygen to your body. anemia can cause fatigue, weakness, and shortness of breath.",sign symptom bleed rectum blood bowel movement come time blood loss lead anemia anemia low number red blood cell prevent body carry oxygen body anemia cause fatigue weakness shortness breath,"['signs', 'symptoms', 'bleeding', 'rectum', 'blood', 'bowel', 'movements', 'time', 'blood loss', 'anemia', 'anemia', 'red blood cells', 'prevents', 'body', 'oxygen', 'body', 'anemia', 'cause', 'fatigue', 'weakness', 'shortness of breath']"
angioedema,"Skin swelling may be the only symptom. Swelling may be on one or both sides of the affected area. You may also have any of the following: Pain and burning in the swollen area Hives or an itchy rash A cough, wheezing, and shortness of breath Irritated eyes and nose Abdominal pain",drugs-com,"skin swelling may be the only symptom. swelling may be on one or both sides of the affected area. you may also have any of the following: pain and burning in the swollen area hives or an itchy rash a cough, wheezing, and shortness of breath irritated eyes and nose abdominal pain",skin swelling symptom swelling side affect area following pain burn swollen area hive itchy rash cough wheezing shortness breath irritated eye nose abdominal pain,"['skin swelling', 'symptom', 'swelling', 'affected area', 'pain', 'burning', 'swollen area hives', 'itchy rash', 'cough', 'wheezing', 'shortness', 'irritated', 'eyes', 'nose abdominal pain']"
ankle bursitis,"Pain or tenderness in the back of your ankle Limping Decreased movement or stiffness of your ankle Red, warm, swollen skin over your ankle or heel",drugs-com,"pain or tenderness in the back of your ankle limping decreased movement or stiffness of your ankle red, warm, swollen skin over your ankle or heel",pain tenderness ankle limping decrease movement stiffness ankle red warm swollen skin ankle heel,"['pain', 'tenderness', 'ankle limping', 'decreased', 'movement', 'stiffness', 'ankle red', 'warm', 'swollen skin', 'ankle', 'heel']"
ankle dislocation,Pain and swelling in your ankle Numbness or weakness in your ankle Pale or cold skin or a bruise over the ankle Not being able to move or stand on your ankle A change in the shape of your ankle,drugs-com,pain and swelling in your ankle numbness or weakness in your ankle pale or cold skin or a bruise over the ankle not being able to move or stand on your ankle a change in the shape of your ankle,pain swelling ankle numbness weakness ankle pale cold skin bruise ankle able stand ankle change shape ankle,"['pain', 'swelling', 'ankle numbness', 'weakness', 'ankle pale', 'cold skin', 'bruise', 'ankle', 'ankle', 'shape', 'ankle']"
ankle fracture,"Sudden, severe pain Bruising on your ankle Tenderness, redness, and swelling in your ankle Trouble moving or putting weight on your ankle or foot Weakness or numbness in your ankle Deformed ankle shape",drugs-com,"sudden, severe pain bruising on your ankle tenderness, redness, and swelling in your ankle trouble moving or putting weight on your ankle or foot weakness or numbness in your ankle deformed ankle shape",sudden severe pain bruising ankle tenderness redness swell ankle trouble move put weight ankle foot weakness numbness ankle deformed ankle shape,"['sudden', 'severe', 'pain bruising', 'ankle tenderness', 'redness', 'swelling', 'ankle', 'ankle', 'foot weakness', 'numbness', 'ankle', 'shape']"
